PA_ID,Level,Garden,Activity,Learning_Objective,Expected_Evidence
PA-144,Primary 1-3,Pollinator Garden,COMPARE - Pollinator Garden,"Enable pupils to compare flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-145,Primary 1-3,Pollinator Garden,RECORD - Pollinator Garden,"Enable pupils to record flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-146,Primary 1-3,Pollinator Garden,MAP - Pollinator Garden,"Enable pupils to map flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-147,Primary 1-3,Pollinator Garden,GROW - Pollinator Garden,"Enable pupils to grow flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-148,Primary 1-3,Pollinator Garden,CHECK - Pollinator Garden,"Enable pupils to check flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-149,Primary 1-3,Pollinator Garden,EXPLAIN - Pollinator Garden,"Enable pupils to explain flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-150,Primary 1-3,Pollinator Garden,IMPROVE - Pollinator Garden,"Enable pupils to improve flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-151,Primary 1-3,Raised Food Garden,OBSERVE - Raised Food Garden,"Enable pupils to observe raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-152,Primary 1-3,Raised Food Garden,COUNT - Raised Food Garden,"Enable pupils to count raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-153,Primary 1-3,Raised Food Garden,MEASURE - Raised Food Garden,"Enable pupils to measure raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-154,Primary 1-3,Raised Food Garden,COMPARE - Raised Food Garden,"Enable pupils to compare raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-155,Primary 1-3,Raised Food Garden,RECORD - Raised Food Garden,"Enable pupils to record raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-156,Primary 1-3,Raised Food Garden,MAP - Raised Food Garden,"Enable pupils to map raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-157,Primary 1-3,Raised Food Garden,GROW - Raised Food Garden,"Enable pupils to grow raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-158,Primary 1-3,Raised Food Garden,CHECK - Raised Food Garden,"Enable pupils to check raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-159,Primary 1-3,Raised Food Garden,EXPLAIN - Raised Food Garden,"Enable pupils to explain raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-160,Primary 1-3,Raised Food Garden,IMPROVE - Raised Food Garden,"Enable pupils to improve raised-bed growth, spacing and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-161,Primary 1-3,ReBottle Wall Garden,OBSERVE - ReBottle Wall Garden,"Enable pupils to observe vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-162,Primary 1-3,ReBottle Wall Garden,COUNT - ReBottle Wall Garden,"Enable pupils to count vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-163,Primary 1-3,ReBottle Wall Garden,MEASURE - ReBottle Wall Garden,"Enable pupils to measure vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-164,Primary 1-3,ReBottle Wall Garden,COMPARE - ReBottle Wall Garden,"Enable pupils to compare vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-165,Primary 1-3,ReBottle Wall Garden,RECORD - ReBottle Wall Garden,"Enable pupils to record vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-166,Primary 1-3,ReBottle Wall Garden,MAP - ReBottle Wall Garden,"Enable pupils to map vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-167,Primary 1-3,ReBottle Wall Garden,GROW - ReBottle Wall Garden,"Enable pupils to grow vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-168,Primary 1-3,ReBottle Wall Garden,CHECK - ReBottle Wall Garden,"Enable pupils to check vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-169,Primary 1-3,ReBottle Wall Garden,EXPLAIN - ReBottle Wall Garden,"Enable pupils to explain vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-170,Primary 1-3,ReBottle Wall Garden,IMPROVE - ReBottle Wall Garden,"Enable pupils to improve vertical container position, drainage and growth using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-171,Primary 1-3,Sack GrowBag Garden,OBSERVE - Sack GrowBag Garden,"Enable pupils to observe growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-172,Primary 1-3,Sack GrowBag Garden,COUNT - Sack GrowBag Garden,"Enable pupils to count growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-173,Primary 1-3,Sack GrowBag Garden,MEASURE - Sack GrowBag Garden,"Enable pupils to measure growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-174,Primary 1-3,Sack GrowBag Garden,COMPARE - Sack GrowBag Garden,"Enable pupils to compare growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-175,Primary 1-3,Sack GrowBag Garden,RECORD - Sack GrowBag Garden,"Enable pupils to record growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-176,Primary 1-3,Sack GrowBag Garden,MAP - Sack GrowBag Garden,"Enable pupils to map growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-177,Primary 1-3,Sack GrowBag Garden,GROW - Sack GrowBag Garden,"Enable pupils to grow growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-178,Primary 1-3,Sack GrowBag Garden,CHECK - Sack GrowBag Garden,"Enable pupils to check growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-179,Primary 1-3,Sack GrowBag Garden,EXPLAIN - Sack GrowBag Garden,"Enable pupils to explain growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-180,Primary 1-3,Sack GrowBag Garden,IMPROVE - Sack GrowBag Garden,"Enable pupils to improve growbag plant position, growth and care using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-181,Primary 1-3,Ground Production Garden,OBSERVE - Ground Production Garden,"Enable pupils to observe rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-182,Primary 1-3,Ground Production Garden,COUNT - Ground Production Garden,"Enable pupils to count rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-183,Primary 1-3,Ground Production Garden,MEASURE - Ground Production Garden,"Enable pupils to measure rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-184,Primary 1-3,Ground Production Garden,COMPARE - Ground Production Garden,"Enable pupils to compare rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-185,Primary 1-3,Ground Production Garden,RECORD - Ground Production Garden,"Enable pupils to record rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-186,Primary 1-3,Ground Production Garden,MAP - Ground Production Garden,"Enable pupils to map rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-187,Primary 1-3,Ground Production Garden,GROW - Ground Production Garden,"Enable pupils to grow rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-188,Primary 1-3,Ground Production Garden,CHECK - Ground Production Garden,"Enable pupils to check rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-189,Primary 1-3,Ground Production Garden,EXPLAIN - Ground Production Garden,"Enable pupils to explain rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-190,Primary 1-3,Ground Production Garden,IMPROVE - Ground Production Garden,"Enable pupils to improve rows, spacing, establishment and harvest using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-191,Primary 1-3,Discovery Production Garden,OBSERVE - Discovery Production Garden,"Enable pupils to observe student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-192,Primary 1-3,Discovery Production Garden,COUNT - Discovery Production Garden,"Enable pupils to count student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-193,Primary 1-3,Discovery Production Garden,MEASURE - Discovery Production Garden,"Enable pupils to measure student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-194,Primary 1-3,Discovery Production Garden,COMPARE - Discovery Production Garden,"Enable pupils to compare student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-195,Primary 1-3,Discovery Production Garden,RECORD - Discovery Production Garden,"Enable pupils to record student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-196,Primary 1-3,Discovery Production Garden,MAP - Discovery Production Garden,"Enable pupils to map student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-197,Primary 1-3,Discovery Production Garden,GROW - Discovery Production Garden,"Enable pupils to grow student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-198,Primary 1-3,Discovery Production Garden,CHECK - Discovery Production Garden,"Enable pupils to check student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-199,Primary 1-3,Discovery Production Garden,EXPLAIN - Discovery Production Garden,"Enable pupils to explain student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-200,Primary 1-3,Discovery Production Garden,IMPROVE - Discovery Production Garden,"Enable pupils to improve student-generated production questions using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-201,Primary 4-6,Raised Food Garden,OBSERVE - Raised Food Garden,"Guide pupils to observe a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-202,Primary 4-6,Raised Food Garden,MEASURE - Raised Food Garden,"Guide pupils to measure a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-203,Primary 4-6,Raised Food Garden,QUESTION - Raised Food Garden,"Guide pupils to question a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-204,Primary 4-6,Raised Food Garden,SAMPLE - Raised Food Garden,"Guide pupils to sample a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-205,Primary 4-6,Raised Food Garden,INVESTIGATE - Raised Food Garden,"Guide pupils to investigate a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-206,Primary 4-6,Raised Food Garden,CALCULATE - Raised Food Garden,"Guide pupils to calculate a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-207,Primary 4-6,Raised Food Garden,GRAPH - Raised Food Garden,"Guide pupils to graph a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-208,Primary 4-6,Raised Food Garden,ANALYZE - Raised Food Garden,"Guide pupils to analyze a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-209,Primary 4-6,Raised Food Garden,EXPLAIN - Raised Food Garden,"Guide pupils to explain a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-210,Primary 4-6,Raised Food Garden,RECOMMEND - Raised Food Garden,"Guide pupils to recommend a question about raised-bed growth, spacing and care, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-211,Primary 4-6,Geometry Garden,OBSERVE - Geometry Garden,"Guide pupils to observe a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-212,Primary 4-6,Geometry Garden,MEASURE - Geometry Garden,"Guide pupils to measure a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-213,Primary 4-6,Geometry Garden,QUESTION - Geometry Garden,"Guide pupils to question a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-214,Primary 4-6,Geometry Garden,SAMPLE - Geometry Garden,"Guide pupils to sample a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-215,Primary 4-6,Geometry Garden,INVESTIGATE - Geometry Garden,"Guide pupils to investigate a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-216,Primary 4-6,Geometry Garden,CALCULATE - Geometry Garden,"Guide pupils to calculate a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-217,Primary 4-6,Geometry Garden,GRAPH - Geometry Garden,"Guide pupils to graph a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-218,Primary 4-6,Geometry Garden,ANALYZE - Geometry Garden,"Guide pupils to analyze a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-219,Primary 4-6,Geometry Garden,EXPLAIN - Geometry Garden,"Guide pupils to explain a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-220,Primary 4-6,Geometry Garden,RECOMMEND - Geometry Garden,"Guide pupils to recommend a question about shapes, sides, corners, length and garden layout, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-221,Primary 4-6,Grid Experiment Garden,OBSERVE - Grid Experiment Garden,"Guide pupils to observe a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-222,Primary 4-6,Grid Experiment Garden,MEASURE - Grid Experiment Garden,"Guide pupils to measure a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-223,Primary 4-6,Grid Experiment Garden,QUESTION - Grid Experiment Garden,"Guide pupils to question a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-224,Primary 4-6,Grid Experiment Garden,SAMPLE - Grid Experiment Garden,"Guide pupils to sample a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-225,Primary 4-6,Grid Experiment Garden,INVESTIGATE - Grid Experiment Garden,"Guide pupils to investigate a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-226,Primary 4-6,Grid Experiment Garden,CALCULATE - Grid Experiment Garden,"Guide pupils to calculate a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-227,Primary 4-6,Grid Experiment Garden,GRAPH - Grid Experiment Garden,"Guide pupils to graph a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-228,Primary 4-6,Grid Experiment Garden,ANALYZE - Grid Experiment Garden,"Guide pupils to analyze a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-229,Primary 4-6,Grid Experiment Garden,EXPLAIN - Grid Experiment Garden,"Guide pupils to explain a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-230,Primary 4-6,Grid Experiment Garden,RECOMMEND - Grid Experiment Garden,"Guide pupils to recommend a question about fair comparisons, treatments, controls and replication, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-231,Primary 4-6,Keyhole Garden,OBSERVE - Keyhole Garden,"Guide pupils to observe a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-232,Primary 4-6,Keyhole Garden,MEASURE - Keyhole Garden,"Guide pupils to measure a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-233,Primary 4-6,Keyhole Garden,QUESTION - Keyhole Garden,"Guide pupils to question a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-234,Primary 4-6,Keyhole Garden,SAMPLE - Keyhole Garden,"Guide pupils to sample a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-235,Primary 4-6,Keyhole Garden,INVESTIGATE - Keyhole Garden,"Guide pupils to investigate a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-236,Primary 4-6,Keyhole Garden,CALCULATE - Keyhole Garden,"Guide pupils to calculate a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-237,Primary 4-6,Keyhole Garden,GRAPH - Keyhole Garden,"Guide pupils to graph a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-238,Primary 4-6,Keyhole Garden,ANALYZE - Keyhole Garden,"Guide pupils to analyze a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-239,Primary 4-6,Keyhole Garden,EXPLAIN - Keyhole Garden,"Guide pupils to explain a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-240,Primary 4-6,Keyhole Garden,RECOMMEND - Keyhole Garden,"Guide pupils to recommend a question about access, bed geometry, moisture and composting, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-241,Primary 4-6,Compost Garden,OBSERVE - Compost Garden,"Guide pupils to observe a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-242,Primary 4-6,Compost Garden,MEASURE - Compost Garden,"Guide pupils to measure a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-243,Primary 4-6,Compost Garden,QUESTION - Compost Garden,"Guide pupils to question a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-244,Primary 4-6,Compost Garden,SAMPLE - Compost Garden,"Guide pupils to sample a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-245,Primary 4-6,Compost Garden,INVESTIGATE - Compost Garden,"Guide pupils to investigate a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-246,Primary 4-6,Compost Garden,CALCULATE - Compost Garden,"Guide pupils to calculate a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-247,Primary 4-6,Compost Garden,GRAPH - Compost Garden,"Guide pupils to graph a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-248,Primary 4-6,Compost Garden,ANALYZE - Compost Garden,"Guide pupils to analyze a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-249,Primary 4-6,Compost Garden,EXPLAIN - Compost Garden,"Guide pupils to explain a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-250,Primary 4-6,Compost Garden,RECOMMEND - Compost Garden,"Guide pupils to recommend a question about temperature, moisture, decomposition and maturity, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-251,Primary 4-6,Gravity Drip Garden,OBSERVE - Gravity Drip Garden,"Guide pupils to observe a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-252,Primary 4-6,Gravity Drip Garden,MEASURE - Gravity Drip Garden,"Guide pupils to measure a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-253,Primary 4-6,Gravity Drip Garden,QUESTION - Gravity Drip Garden,"Guide pupils to question a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-254,Primary 4-6,Gravity Drip Garden,SAMPLE - Gravity Drip Garden,"Guide pupils to sample a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-255,Primary 4-6,Gravity Drip Garden,INVESTIGATE - Gravity Drip Garden,"Guide pupils to investigate a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-256,Primary 4-6,Gravity Drip Garden,CALCULATE - Gravity Drip Garden,"Guide pupils to calculate a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-257,Primary 4-6,Gravity Drip Garden,GRAPH - Gravity Drip Garden,"Guide pupils to graph a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-258,Primary 4-6,Gravity Drip Garden,ANALYZE - Gravity Drip Garden,"Guide pupils to analyze a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-259,Primary 4-6,Gravity Drip Garden,EXPLAIN - Gravity Drip Garden,"Guide pupils to explain a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-260,Primary 4-6,Gravity Drip Garden,RECOMMEND - Gravity Drip Garden,"Guide pupils to recommend a question about flow, uniformity and water delivery, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-261,Primary 4-6,Vertical Garden,OBSERVE - Vertical Garden,"Guide pupils to observe a question about multi-level growth, light and water distribution, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-262,Primary 4-6,Vertical Garden,MEASURE - Vertical Garden,"Guide pupils to measure a question about multi-level growth, light and water distribution, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
PA-263,Primary 4-6,Vertical Garden,QUESTION - Vertical Garden,"Guide pupils to question a question about multi-level growth, light and water distribution, collect comparable evidence, analyze it and explain a defensible result.","Labeled table, units, calculation/graph, conclusion, limitation and recommendation."
