Garden_ID,Level,Garden_No,Garden_Name,Nominal_Footprint,Nominal_Area,Complexity,Indicative_Cost_Band,Expected_Infrastructure_Life,Water_Approach,Core_Components,Preliminary_BOM,DIY_Local_Option,Safety_Commissioning,Installation_Sequence
GD-37,JSS 1-3,7,Compost & Soil Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; 2-3 compost bays/bins; carbon/nitrogen material station; temperature/moisture observation point,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-38,JSS 1-3,8,Soilless Learning Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; food-grade reservoir; channels/containers; growing medium/net pots; return/drainage path,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-39,JSS 1-3,9,Sensor-Ready Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; sensor mounting points; protected low-voltage enclosure; manual override; data-record station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-40,JSS 1-3,10,Applied Systems Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; modular test stations; measurement bench; system map/signage,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-41,SSS 1-3,1,Advanced Production Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; production rows/beds; harvest access; crop labels,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-42,SSS 1-3,2,Crop Trial Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; marked experimental plots; treatment labels; buffer strips; measurement points,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-43,SSS 1-3,3,Controlled Experiment Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; marked experimental plots; treatment labels; buffer strips; measurement points,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-44,SSS 1-3,4,Irrigation Engineering Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; header tank where appropriate; mainline/laterals; valves; drip emitters or measured outlets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-45,SSS 1-3,5,Water Productivity Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-46,SSS 1-3,6,Advanced Soilless Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; food-grade reservoir; channels/containers; growing medium/net pots; return/drainage path,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-47,SSS 1-3,7,Sensor & Monitoring Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; sensor mounting points; protected low-voltage enclosure; manual override; data-record station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-48,SSS 1-3,8,Smart Irrigation Demonstrator,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; header tank where appropriate; mainline/laterals; valves; drip emitters or measured outlets; sensor mounting points; protected low-voltage enclosure; manual override; data-record station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-49,SSS 1-3,9,Research & Design Garden,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; modular test stations; measurement bench; system map/signage,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-50,SSS 1-3,10,Integrated Food Systems Laboratory,8 m x 12 m,96 m2,Advanced school demonstrator,High,5-10 years for durable infrastructure,Instrumented irrigation / tanks / control options,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; modular test stations; measurement bench; system map/signage,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
