Level,Week,Garden_or_Focus,Learning_Objective,Vocabulary,Resource_Links,Integrated_Extension,Assessment,Suggested_Flow
JSS 1-3,8,Soilless Learning Garden,"Conduct a structured investigation in the Soilless Learning Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Soilless Learning Garden; TD-371 to TD-380; PA-371 to PA-380; GM-371 to GM-380; AQ-371 to AQ-380.,"Select one IL-371–IL-380, FF-371–FF-380, or FSC-371–FSC-380 activity where it fits the week's garden evidence.","Use observation plus AQ-371–AQ-380; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,9,Sensor-Ready Garden,"Conduct a structured investigation in the Sensor-Ready Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Sensor-Ready Garden; TD-381 to TD-390; PA-381 to PA-390; GM-381 to GM-390; AQ-381 to AQ-390.,"Select one IL-381–IL-390, FF-381–FF-390, or FSC-381–FSC-390 activity where it fits the week's garden evidence.","Use observation plus AQ-381–AQ-390; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,10,Applied Systems Garden,"Conduct a structured investigation in the Applied Systems Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Applied Systems Garden; TD-391 to TD-400; PA-391 to PA-400; GM-391 to GM-400; AQ-391 to AQ-400.,"Select one IL-391–IL-400, FF-391–FF-400, or FSC-391–FSC-400 activity where it fits the week's garden evidence.","Use observation plus AQ-391–AQ-400; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,11,Synthesis & Portfolio,"Synthesize evidence from the ten gardens, revisit weak competencies, complete unfinished missions, and prepare a portfolio of the learner's strongest evidence.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.","Student Journal; Food Smart Passport; selected Practical Cards, Garden Missions, Ingredient Lab, Farm-to-Food and Food Smart Challenge evidence from Weeks 1-10.","Learners choose evidence that shows growth in knowledge, practical competence, investigation/data skills and mission-based problem solving.","Teacher moderation: review journal, passport, assessment results and practical evidence; reteach or reassess competencies not yet secure.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,12,GrowMeal Celebration & Demonstration,"Celebrate learning through a safe GrowMeal showcase in which learners communicate what they grew, observed, measured, investigated and solved.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Food Smart Passport; learner portfolio; garden displays; selected charts/models; certificates or school-approved recognition materials.,"Garden walk, learner demonstrations, evidence exhibition, Farm-to-Food/Ingredient Lab displays and age-appropriate challenge presentations.","Final teacher verification, learner reflection, level-completion record and next-level learning goals.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
SSS 1-3,1,Advanced Production Garden,"Design and evaluate a research/engineering investigation in the Advanced Production Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Advanced Production Garden; TD-401 to TD-410; PA-401 to PA-410; GM-401 to GM-410; AQ-401 to AQ-410.,"Select one IL-401–IL-410, FF-401–FF-410, or FSC-401–FSC-410 activity where it fits the week's garden evidence.","Use observation plus AQ-401–AQ-410; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,2,Crop Trial Garden,"Design and evaluate a research/engineering investigation in the Crop Trial Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Crop Trial Garden; TD-411 to TD-420; PA-411 to PA-420; GM-411 to GM-420; AQ-411 to AQ-420.,"Select one IL-411–IL-420, FF-411–FF-420, or FSC-411–FSC-420 activity where it fits the week's garden evidence.","Use observation plus AQ-411–AQ-420; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,3,Controlled Experiment Garden,"Design and evaluate a research/engineering investigation in the Controlled Experiment Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Controlled Experiment Garden; TD-421 to TD-430; PA-421 to PA-430; GM-421 to GM-430; AQ-421 to AQ-430.,"Select one IL-421–IL-430, FF-421–FF-430, or FSC-421–FSC-430 activity where it fits the week's garden evidence.","Use observation plus AQ-421–AQ-430; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,4,Irrigation Engineering Garden,"Design and evaluate a research/engineering investigation in the Irrigation Engineering Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Irrigation Engineering Garden; TD-431 to TD-440; PA-431 to PA-440; GM-431 to GM-440; AQ-431 to AQ-440.,"Select one IL-431–IL-440, FF-431–FF-440, or FSC-431–FSC-440 activity where it fits the week's garden evidence.","Use observation plus AQ-431–AQ-440; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,5,Water Productivity Garden,"Design and evaluate a research/engineering investigation in the Water Productivity Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Water Productivity Garden; TD-441 to TD-450; PA-441 to PA-450; GM-441 to GM-450; AQ-441 to AQ-450.,"Select one IL-441–IL-450, FF-441–FF-450, or FSC-441–FSC-450 activity where it fits the week's garden evidence.","Use observation plus AQ-441–AQ-450; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,6,Advanced Soilless Garden,"Design and evaluate a research/engineering investigation in the Advanced Soilless Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Advanced Soilless Garden; TD-451 to TD-460; PA-451 to PA-460; GM-451 to GM-460; AQ-451 to AQ-460.,"Select one IL-451–IL-460, FF-451–FF-460, or FSC-451–FSC-460 activity where it fits the week's garden evidence.","Use observation plus AQ-451–AQ-460; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,7,Sensor & Monitoring Garden,"Design and evaluate a research/engineering investigation in the Sensor & Monitoring Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Sensor & Monitoring Garden; TD-461 to TD-470; PA-461 to PA-470; GM-461 to GM-470; AQ-461 to AQ-470.,"Select one IL-461–IL-470, FF-461–FF-470, or FSC-461–FSC-470 activity where it fits the week's garden evidence.","Use observation plus AQ-461–AQ-470; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,8,Smart Irrigation Demonstrator,"Design and evaluate a research/engineering investigation in the Smart Irrigation Demonstrator, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Smart Irrigation Demonstrator; TD-471 to TD-480; PA-471 to PA-480; GM-471 to GM-480; AQ-471 to AQ-480.,"Select one IL-471–IL-480, FF-471–FF-480, or FSC-471–FSC-480 activity where it fits the week's garden evidence.","Use observation plus AQ-471–AQ-480; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,9,Research & Design Garden,"Design and evaluate a research/engineering investigation in the Research & Design Garden, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Research & Design Garden; TD-481 to TD-490; PA-481 to PA-490; GM-481 to GM-490; AQ-481 to AQ-490.,"Select one IL-481–IL-490, FF-481–FF-490, or FSC-481–FSC-490 activity where it fits the week's garden evidence.","Use observation plus AQ-481–AQ-490; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,10,Integrated Food Systems Laboratory,"Design and evaluate a research/engineering investigation in the Integrated Food Systems Laboratory, including measurement quality, uncertainty and an optimization decision.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Flashcards for Integrated Food Systems Laboratory; TD-491 to TD-500; PA-491 to PA-500; GM-491 to GM-500; AQ-491 to AQ-500.,"Select one IL-491–IL-500, FF-491–FF-500, or FSC-491–FSC-500 activity where it fits the week's garden evidence.","Use observation plus AQ-491–AQ-500; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,11,Synthesis & Portfolio,"Synthesize evidence from the ten gardens, revisit weak competencies, complete unfinished missions, and prepare a portfolio of the learner's strongest evidence.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.","Student Journal; Food Smart Passport; selected Practical Cards, Garden Missions, Ingredient Lab, Farm-to-Food and Food Smart Challenge evidence from Weeks 1-10.","Learners choose evidence that shows growth in knowledge, practical competence, investigation/data skills and mission-based problem solving.","Teacher moderation: review journal, passport, assessment results and practical evidence; reteach or reassess competencies not yet secure.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
SSS 1-3,12,GrowMeal Celebration & Demonstration,"Celebrate learning through a safe GrowMeal showcase in which learners communicate what they grew, observed, measured, investigated and solved.","15-20 research, engineering, instrumentation, modeling and systems terms used in technical context.",Food Smart Passport; learner portfolio; garden displays; selected charts/models; certificates or school-approved recognition materials.,"Garden walk, learner demonstrations, evidence exhibition, Farm-to-Food/Ingredient Lab displays and age-appropriate challenge presentations.","Final teacher verification, learner reflection, level-completion record and next-level learning goals.",Research/design objective (10 min) -> protocol/instrument/QC (20 min) -> data/model work (40 min) -> validation/trade-off analysis (20 min) -> optimization recommendation (10 min).
