id,garden,mission_no,title,mission,materials,evidence,success,safety,agrishine
GM-272,Crop Rotation Garden,2,CROP INVESTIGATION,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-273,Crop Rotation Garden,3,EVIDENCE MISSION: TEST,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-274,Crop Rotation Garden,4,SAMPLE THE SYSTEM,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-275,Crop Rotation Garden,5,CROP INVESTIGATION,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-276,Crop Rotation Garden,6,EVIDENCE MISSION: GRAPH,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-277,Crop Rotation Garden,7,DIAGNOSE THE SYSTEM,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-278,Crop Rotation Garden,8,CROP INVESTIGATION,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-279,Crop Rotation Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-280,Crop Rotation Garden,10,RECOMMEND THE SYSTEM,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
GM-281,Water-Smart Garden,1,QUESTION THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-282,Water-Smart Garden,2,WATER-SMART INVESTIGATION,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-283,Water-Smart Garden,3,EVIDENCE MISSION: TEST,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-284,Water-Smart Garden,4,SAMPLE THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-285,Water-Smart Garden,5,WATER-SMART INVESTIGATION,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-286,Water-Smart Garden,6,EVIDENCE MISSION: GRAPH,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-287,Water-Smart Garden,7,DIAGNOSE THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-288,Water-Smart Garden,8,WATER-SMART INVESTIGATION,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-289,Water-Smart Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-290,Water-Smart Garden,10,RECOMMEND THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","measuring container, timer, ruler","infiltration, applied water, runoff or productivity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid slippery wet areas. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-291,Intro Soilless Garden,1,QUESTION THE SYSTEM,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-292,Intro Soilless Garden,2,INTRO INVESTIGATION,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-293,Intro Soilless Garden,3,EVIDENCE MISSION: TEST,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-294,Intro Soilless Garden,4,SAMPLE THE SYSTEM,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-295,Intro Soilless Garden,5,INTRO INVESTIGATION,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-296,Intro Soilless Garden,6,EVIDENCE MISSION: GRAPH,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-297,Intro Soilless Garden,7,DIAGNOSE THE SYSTEM,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-298,Intro Soilless Garden,8,INTRO INVESTIGATION,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-299,Intro Soilless Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
GM-300,Intro Soilless Garden,10,RECOMMEND THE SYSTEM,"Investigate introductory soilless production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","reservoir/system map, approved meter","flow, pH, EC or root-zone evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not taste or touch nutrient solution. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Intro Soilless Garden based on your measurements.
