Garden_ID,Check_Item,Status,Finding,Corrective_Action,Owner,Verified_Date
GD-47,Electrical/sensor enclosure protected where applicable,,,,,
GD-47,Final safety inspection complete,,,,,
GD-48,Dimensions/set-out verified,,,,,
GD-48,Paths clear and stable,,,,,
GD-48,Beds/containers stable,,,,,
GD-48,Vertical structures anchored,,,,,
GD-48,Tank/water point stable,,,,,
GD-48,Irrigation tested,,,,,
GD-48,Drainage works,,,,,
GD-48,No sharp/protruding hazards,,,,,
GD-48,Growing medium acceptable,,,,,
GD-48,Labels installed,,,,,
GD-48,Tool storage ready,,,,,
GD-48,Learning station usable,,,,,
GD-48,Accessibility adaptations complete,,,,,
GD-48,Electrical/sensor enclosure protected where applicable,,,,,
GD-48,Final safety inspection complete,,,,,
GD-49,Dimensions/set-out verified,,,,,
GD-49,Paths clear and stable,,,,,
GD-49,Beds/containers stable,,,,,
GD-49,Vertical structures anchored,,,,,
GD-49,Tank/water point stable,,,,,
GD-49,Irrigation tested,,,,,
GD-49,Drainage works,,,,,
GD-49,No sharp/protruding hazards,,,,,
GD-49,Growing medium acceptable,,,,,
GD-49,Labels installed,,,,,
GD-49,Tool storage ready,,,,,
GD-49,Learning station usable,,,,,
GD-49,Accessibility adaptations complete,,,,,
GD-49,Electrical/sensor enclosure protected where applicable,,,,,
GD-49,Final safety inspection complete,,,,,
GD-50,Dimensions/set-out verified,,,,,
GD-50,Paths clear and stable,,,,,
GD-50,Beds/containers stable,,,,,
GD-50,Vertical structures anchored,,,,,
GD-50,Tank/water point stable,,,,,
GD-50,Irrigation tested,,,,,
GD-50,Drainage works,,,,,
GD-50,No sharp/protruding hazards,,,,,
GD-50,Growing medium acceptable,,,,,
GD-50,Labels installed,,,,,
GD-50,Tool storage ready,,,,,
GD-50,Learning station usable,,,,,
GD-50,Accessibility adaptations complete,,,,,
GD-50,Electrical/sensor enclosure protected where applicable,,,,,
GD-50,Final safety inspection complete,,,,,
